"","Peso","Altura","Juegos.Jugados","Juegos.Titular","Goles","Minutos.Jugados","Tarjetas.Amarillas","Tarjetas.Rojas"
"295",76,1.78,4,1,0,146,0,0
"296",92,1.69,1,1,0,90,0,0
"297",68.5,1.69,7,5,0,455,1,0
"298",72,1.78,5,0,0,130,1,0
"299",67,1.76,10,10,1,900,1,0
"300",70,1.72,5,0,0,124,0,0
"301",78,1.84,4,0,0,51,0,0
"302",75,1.78,9,9,0,711,0,0
"303",92,1.88,8,7,5,648,4,0
"304",82,1.83,6,3,0,272,0,0
"305",80,1.84,10,10,0,900,0,0
"306",85,1.91,0,0,0,0,0,0
"307",79,1.83,0,0,0,0,0,0
"308",76,1.82,1,1,0,40,0,0
"309",78,1.8,8,8,1,668,1,0
"310",72,1.75,3,2,0,183,1,0
"311",66,1.81,10,10,1,900,0,0
"312",87.5,1.92,1,1,0,90,1,0
"313",83,1.7,9,9,0,810,0,0
"314",70,1.85,10,10,0,900,4,0
"315",78,1.79,1,0,0,5,0,0
"316",69,1.65,9,5,0,558,0,0
"317",73,1.73,8,8,0,649,1,0
"318",70.2,1.76,0,0,0,0,0,0
"319",70,1.71,8,4,0,326,1,0
"320",62,1.71,6,5,0,366,1,0
"321",73,1.77,3,0,0,77,0,0
"322",55,1.7,5,0,0,69,0,0
"323",73,1.74,10,10,0,855,2,0
"324",72,1.77,4,1,0,100,1,0
"325",77,1.77,5,3,0,287,0,0
"326",71,1.73,10,10,4,886,3,0
"327",76,1.78,10,10,5,900,0,0
"328",77,1.78,2,0,0,21,0,0
"329",83,1.89,6,2,0,243,1,1
"330",82.8,1.83,7,7,0,545,1,0
"331",82,1.87,3,2,0,265,1,0
"332",75,1.78,5,5,1,445,1,0
"333",72.3,1.76,0,0,0,0,0,0
"334",74.9,1.69,5,5,0,450,2,0
"335",72,1.73,5,5,0,450,0,0
"336",85.8,1.94,8,8,1,706,2,0
"337",70,1.76,6,6,0,540,0,0
"338",77.2,1.81,5,5,0,450,2,0
"339",77.8,1.75,0,0,0,0,0,0
"340",73,1.75,6,6,0,531,1,0
"341",76,1.72,6,3,0,303,1,0
"342",72.5,1.79,0,0,0,0,0,0
"343",54,1.62,4,2,0,166,0,0
"344",69,1.73,8,8,0,719,2,0
"345",68,1.72,10,10,1,840,4,1
"346",67,1.74,2,1,0,96,0,0
"347",74.3,1.76,10,7,2,571,2,0
"348",78,1.87,10,10,5,900,1,0
"349",71,1.72,9,4,1,430,0,0
"350",71,1.76,10,10,4,865,2,0
"351",83,1.87,7,0,0,134,0,0
"352",73,1.75,7,3,1,249,1,0
"353",68,1.75,0,0,0,0,0,0
"354",82,1.88,10,10,0,900,0,0
"355",76,1.81,0,0,0,0,0,0
"356",90,1.83,0,0,0,0,0,0
"357",83,1.86,0,0,0,0,0,0
"358",80,1.9,10,10,0,900,2,0
"359",80,1.85,6,6,0,540,1,0
"360",70,1.79,10,10,0,900,2,0
"361",66,1.71,0,0,0,0,0,0
"362",68,1.75,4,0,0,28,0,0
"363",75,1.81,1,0,0,19,0,0
"364",74,1.79,4,4,0,331,0,0
"365",66,1.74,10,10,1,900,2,0
"366",74.4,1.82,0,0,0,0,0,0
"367",72,1.75,7,7,0,577,3,0
"368",76,1.75,0,0,0,0,0,0
"369",70,1.75,2,0,0,27,0,0
"370",74.9,1.72,3,3,0,225,0,0
"371",70,1.74,9,7,1,680,4,0
"372",80,1.78,10,9,0,784,0,0
"373",62,1.7,10,10,8,805,2,0
"374",78.6,1.79,5,3,0,296,1,0
"375",81,1.87,7,6,3,523,2,0
"376",78,1.84,7,2,2,264,0,0
"377",73.5,1.75,3,0,0,52,0,0
"378",80,1.78,8,8,1,691,1,0
"379",77,1.82,1,1,0,90,0,0
"380",76,1.82,0,0,0,0,0,0
"381",80,1.8,9,9,0,810,0,0
"382",79,1.81,8,7,0,631,3,1
"383",70,1.89,4,3,0,287,0,0
"384",83,1.84,10,10,1,900,3,0
"385",75,1.8,8,8,0,702,1,0
"386",72,1.73,4,3,0,282,0,0
"387",78,1.84,0,0,0,0,0,0
"388",70,1.72,0,0,0,0,0,0
"389",75,1.74,0,0,0,0,0,0
"390",71,1.73,0,0,0,0,0,0
"391",73,1.81,4,3,0,187,0,0
"392",60,1.66,10,10,1,900,1,0
"393",76,1.85,10,7,0,773,1,0
"394",73,1.83,6,3,2,293,1,0
"395",62,1.73,9,9,0,796,0,1
"396",66,1.71,9,9,2,676,2,1
"397",68,1.72,0,0,0,0,0,0
"398",71,1.73,0,0,0,0,0,0
"399",68,1.8,0,0,0,0,0,0
"400",76,1.85,6,4,0,317,0,0
"401",72,1.69,7,7,2,505,0,0
"402",79,1.81,6,2,0,168,0,0
"403",65,1.72,9,8,0,757,3,0
"404",70,1.83,6,3,1,304,0,0
"405",92,1.83,4,1,0,156,2,0
"406",78,1.83,7,1,1,171,0,0
"407",78,1.73,2,2,0,104,0,0
"408",66,1.79,0,0,0,0,0,0
"409",80,1.82,0,0,0,0,0,0
"410",82,1.87,10,10,0,900,1,0
"411",84,1.87,0,0,0,0,0,0
"412",80,1.8,9,9,0,757,1,1
"413",75,1.78,9,9,0,792,2,0
"414",73,1.75,8,7,1,590,0,1
"415",79,1.84,0,0,0,0,0,0
"416",78,1.81,2,1,0,135,0,0
"417",70,1.73,3,3,1,270,1,0
"418",75,1.78,0,0,0,0,0,0
"419",75,1.83,7,7,0,630,1,0
"420",75,1.72,5,3,0,340,0,0
"421",67,1.7,6,4,0,360,0,1
"422",70,1.78,6,6,0,462,0,0
"423",76,1.75,0,0,0,0,0,0
"424",83,1.78,5,2,2,239,1,0
"425",70,1.78,1,1,0,45,0,0
