"","Nombre","Equipo & Posicion","Peso","Altura","Nacionalidad","Juegos Jugados","Juegos Titular","Goles","Autogoles","Minutos Jugados","Tarjetas Amarillas","Tarjetas Rojas"
"81","Julio César Furch ","Delantero en Santos Laguna (LIGA MX) para Apertura 2018 - Clausura 2022","88 kg","1.88","Argentino","10","10","3","0","818","2",NA
"82","Eryc Leonel Castillo Arroyo","Delantero en Santos Laguna (LIGA MX) para Apertura 2019 - Clausura 2020","77 kg","1.74","Ecuatoriano","8","5",NA,"0","464",NA,NA
"83","Eduar Ayrton Preciado García","Delantero en Santos Laguna (LIGA MX) para Apertura 2018 - Clausura 2022","72 kg","1.81","Ecuatoriano","2",NA,NA,"0","16",NA,NA
"84","Eduardo Daniel Aguirre Lara","Delantero en Santos Laguna (LIGA MX) para Clausura 2019 - Apertura 2021","75 kg","1.76","Mexicano","9","7","3","0","490",NA,NA
"85","Raúl Octavio Rivero Falero","Delantero en Santos Laguna (LIGA MX) para Apertura 2019 - Clausura 2020","84 kg","1.85","Uruguayo","7",NA,"1","0","104",NA,NA
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Francisco Guillermo Ochoa Magaña","Portero en América (LIGA MX) para Apertura 2019 - Apertura 2022","85 kg","1.9","Mexicano","10","10",NA,"0","900",NA,NA
"96","Oscar Francisco Jiménez Fabela","Portero en América (LIGA MX) para Clausura 2019 - Apertura 2022","77.8 kg","1.82","Mexicano",NA,NA,NA,"0",NA,NA,NA
"97","Luis Fernando Fuentes Vargas","Defensa en América (LIGA MX) para Clausura 2020","70 kg","1.76","Mexicano","9","8","2","0","785","1",NA
