"","X","Nombre","Equipo...Posicion","Peso","Altura","Nacionalidad","Juegos.Jugados","Juegos.Titular","Goles","Minutos.Jugados","Tarjetas.Amarillas","Tarjetas.Rojas"
"137",137,"Antonio Ignacio Torres Carrillo","Guadalajara ",83,1.89,"Mexicano",0,0,0,0,0,0
"138",138,"Cristian Yonathan Calderón Del Real","Guadalajara ",66,1.77,"Mexicano",4,2,0,229,1,0
"139",139,"Antonio Briseño Vázquez","Guadalajara ",81.1,1.85,"Mexicano",4,2,0,263,0,0
"140",140,"Miguel Ángel Ponce Briseño","Guadalajara ",83,1.76,"Mexicano",9,9,0,810,2,0
"141",141,"Jesús Enrique Sánchez García","Guadalajara ",67.5,1.68,"Mexicano",7,7,0,575,2,0
"142",142,"Hiram Ricardo Mier Alanís","Guadalajara ",73.7,1.82,"Mexicano",10,10,0,840,1,0
"143",143,"José Antonio Madueña López","Guadalajara ",66.7,1.73,"Mexicano",3,2,0,205,0,0
"144",144,"Alexis Francisco Peña López","Guadalajara ",82.3,1.86,"Mexicano",0,0,0,0,0,0
"145",145,"Gilberto Sepúlveda López","Guadalajara ",77.9,1.82,"Mexicano",8,8,0,720,2,0
"146",146,"Dieter Daniel Villalpando Pérez","Guadalajara ",70.9,1.71,"Mexicano",4,1,0,128,0,0
"147",147,"Javier Eduardo López Ramírez","Guadalajara ",66.6,1.67,"Mexicano",8,6,2,463,0,0
"148",148,"Isaác Brizuela Muñóz","Guadalajara ",65.6,1.71,"Mexicano",10,8,0,715,1,0
"149",149,"Carlos Uriel Antuna Romero","Guadalajara ",61,1.74,"Mexicano",9,7,0,645,0,0
"150",150,"Jesús Ricardo Angulo Uriarte","Guadalajara ",62.3,1.72,"Mexicano",7,1,0,178,0,0
"151",151,"Jesús Antonio Molina Granados","Guadalajara ",77,1.86,"Mexicano",10,10,2,850,4,0
"152",152,"José Juan Vázquez Gómez","Guadalajara ",63,1.66,"Mexicano",4,0,0,101,0,0
"153",153,"Fernando Beltrán Cruz","Guadalajara ",64,1.63,"Mexicano",10,10,2,824,4,0
"154",154,"Alejandro Zendejas Saavedra","Guadalajara ",63.5,1.65,"Mexicano",0,0,0,0,0,0
"155",155,"Ernesto Alexis Vega Rojas","Guadalajara ",77.3,1.73,"Mexicano",7,7,2,502,1,1
"156",156,"José Juan Macías Guzmán","Guadalajara ",76,1.78,"Mexicano",8,7,4,616,0,0
"157",157,"Ronaldo Cisneros Morell","Guadalajara ",74,1.8,"Mexicano",4,2,0,138,1,1
"158",158,"Oribe Peralta Morones","Guadalajara ",71.7,1.78,"Mexicano",2,1,1,112,1,0
"169",169,"Alfredo Saldívar Medina","PUMAS ",78,1.83,"Mexicano",10,10,0,900,1,0
"170",170,"Julio José González Vela Alvizu","PUMAS ",82,1.83,"Mexicano",0,0,0,0,0,0
"171",171,"Rodrigo Alejandro Cerecedo Cabrera","PUMAS ",71,1.81,"Mexicano",0,0,0,0,0,0
"172",172,"Alan Mozo Rodríguez","PUMAS ",71,1.75,"Mexicano",10,10,0,888,3,0
"173",173,"Luis Fernando Quintana Vega","PUMAS ",75.7,1.8,"Mexicano",9,9,1,765,2,1
"174",174,"Johan Felipe Vásquez Ibarra","PUMAS ",72.1,1.85,"Mexicano",10,10,1,900,5,0
"175",175,"Jerónimo Rodríguez Guemes","PUMAS ",61.2,1.77,"Mexicano",0,0,0,0,0,0
"176",176,"Nicolás Omar Freire ","PUMAS ",82.2,1.87,"Argentino",2,1,1,125,1,0
"177",177,"Manuel Alejandro Mayorga Almaráz","PUMAS ",69,1.78,"Mexicano",10,10,0,810,4,0
"178",178,"Diego Jonathan Rodríguez Miranda","PUMAS ",75.8,1.75,"Mexicano",0,0,0,0,0,0
"179",179,"David Cabrera Pujol","PUMAS ",75.1,1.8,"Mexicano",0,0,0,0,0,0
"180",180,"Andrés Iniestra Vázquez Mellado","PUMAS ",78.8,1.77,"Mexicano",9,9,1,810,1,0
"181",181,"Víctor Ignacio Malcorra ","PUMAS ",74,1.7,"Mexicano",8,2,1,355,0,0
"182",182,"Leonel López González","PUMAS ",68,1.7,"Mexicano",4,1,0,170,1,0
"183",183,"Sebastián Saucedo Mondragón","PUMAS ",74,1.73,"Mexicano",10,8,1,596,1,1
"184",184,"Juan Pablo Vigon Cham","PUMAS ",70.4,1.75,"Mexicano",7,5,2,415,0,0
"185",185,"Alejandro Zamudio Galindo","PUMAS ",60,1.73,"Mexicano",0,0,0,0,0,0
"186",186,"Favio Enrique Álvarez ","PUMAS ",74.3,1.84,"Argentino",10,8,2,657,4,0
"187",187,"Pablo Edson Barrera Acosta","PUMAS ",74.8,1.74,"Mexicano",10,10,1,736,1,0
"188",188,"Martín  Barragán  Negrete","PUMAS ",76.9,1.77,"Mexicano",0,0,0,0,0,0
"189",189,"Juan Ignacio Dinenno De Cara","PUMAS ",84,1.87,"Argentino",8,2,4,322,0,0
"190",190,"Carlos Gabriel González Espinola","PUMAS ",80,1.83,"Paraguayo",10,10,4,900,1,0
"199",199,"Nahuel Ignacio Guzmán Palomeque","UANL ",93.5,1.93,"Argentino",10,10,0,900,0,0
